Date,Dated Brent,Bonny light,Mars,WTI,Maya Europe,Maya USGC,ESPO,Urals NWE,Urals MED,Dubai,LLS,Propane,Gasoline,Jet,Gasoil,FO 1%,ULSD,Naphtha,Butane,FO 3.5%,VGO 0.5%,FO 0.5%,VGO 2%,Arab light,Arab Heavy,Azeri BTC,Tapis,Dalia,Oman,Oseberg blend,ORL
1/1/2000,25.5,,,,,,,-0.5,-0.5,-2.2,1.5,-2.364706902,,7.879456755,,-2.954984109,,1.362571376,-3.227965283,-6.178657794,1.22702529,,0.276572792,1,,,0.2,,-1.3,,
1/2/2000,27.9,,,,,,,-0.5,-0.5,-3.2,1.7,-2.073890443,,5.679154785,,-3.244093596,,1.475277292,-2.30881605,-7.477669824,1.997708996,,1.195334242,0.75,,,-0.4,,-2.5,,
1/3/2000,27.3,,,,,,,-1,-1.5,-2.2,2,-3.622160124,,7.508726471,,-2.401897386,,3.263846061,-3.867299888,-4.225990433,1.956401441,,1.038289482,0.75,,,1.2,,-1.6,,
1/4/2000,22.6,,,,,,,-1,-1.4,-0.5,2.7,-3.358499413,,10.71828751,,-1.482555156,,1.700582592,-4.766095341,-4.424218578,3.103969121,,-0.616742479,0.75,,,2.7,,0.1,,
1/5/2000,27.6,,,,,,,-0.6,-1.2,-1.9,1.5,-7.719306289,,4.605475414,,-4.384147969,,0.155785897,-9.297393517,-9.550713669,0.358729673,,-1.653570512,0.5,,,1.1,,-1.8,,
1/6/2000,29.8,,,,,,,-1.6,-2.4,-2.6,1.9,-7.654020253,,4.848575247,,-2.622201451,,0.100064971,-9.234428882,-8.911991616,0.836808781,,-0.497769282,0.6,,,0.7,,-2,,
1/7/2000,28.5,,,,,,,-3.1,-4,-2.4,1,-5.769139911,,8.424447522,,-2.938696783,,0.900779967,-7.046314838,-8.308510714,0.724416643,,-1.903102401,0.6,,,2.3,,-1.9,,
1/8/2000,30.1,,,,,,,-2.4,-2.7,-3.1,1.5,-6.55459586,,9.491508472,,-6.665747306,,-0.745613242,-7.618570529,-11.16503657,-0.101456842,,-2.714302864,0.6,,,2,,-2.7,,
1/9/2000,32.7,,,,,,,-2.3,-2.7,-2.8,1.1,-5.510007272,,12.05805149,,-4.966374724,,-0.057378834,-5.681540254,-10.18021964,0.006116437,,-2.035978966,0.1,,,1.7,,-2.1,,
1/10/2000,30.9,,,,,,,-1.6,-2.5,-0.4,2.4,-2.83252634,,13.75808371,,-0.936185391,,1.781698605,-3.661884922,-5.998849604,1.100727181,,-0.207553778,0.3,,,1.8,,-1,,
