Date;Dated Brent;Bonny light;Mars;WTI;Maya Europe;Maya USGC;ESPO;Urals NWE;Urals MED;Dubai;LLS;Arab light;Arab Heavy;Azeri BTC;Tapis;Dalia;Oman;Oseberg blend;ORL
01.01.2000;25.5;;;;;;;-0.5;-0.5;-2.2;1.5;1;;;0.2;;-1.3;;
01.02.2000;27.9;;;;;;;-0.5;-0.5;-3.2;1.7;0.75;;;-0.4;;-2.5;;
01.03.2000;27.3;;;;;;;-1;-1.5;-2.2;2;0.75;;;1.2;;-1.6;;
01.04.2000;22.6;;;;;;;-1;-1.4;-0.5;2.7;0.75;;;2.7;;0.1;;
01.05.2000;27.6;;;;;;;-0.6;-1.2;-1.9;1.5;0.5;;;1.1;;-1.8;;
01.06.2000;29.8;;;;;;;-1.6;-2.4;-2.6;1.9;0.6;;;0.7;;-2;;
01.07.2000;28.5;;;;;;;-3.1;-4;-2.4;1;0.6;;;2.3;;-1.9;;
01.08.2000;30.1;;;;;;;-2.4;-2.7;-3.1;1.5;0.6;;;2;;-2.7;;
01.09.2000;32.7;;;;;;;-2.3;-2.7;-2.8;1.1;0.1;;;1.7;;-2.1;;
01.10.2000;30.9;;;;;;;-1.6;-2.5;-0.4;2.4;0.3;;;1.8;;-1;;
01.11.2000;32.6;;;;;;;-1;-1.4;-2.3;2.5;0.1;;;0.1;;-3.5;;
01.12.2000;25.1;;;;;;;-1.4;-1.5;-3.5;3.3;0.2;;;2.8;;-3.1;;
01.01.2001;25.7;;;;;;;-1;-1.1;-2.8;3.8;0.1;;;0.4;;-3;;
01.02.2001;27.4;;;;;;;-2;-2.6;-2.6;1.6;-0.25;;;0.4;;-2.7;;
01.03.2001;24.4;;;;;;;-2.5;-2.7;-1;2.2;0.45;;;2.4;;-1.1;;
01.04.2001;25.7;;;;;;;-2;-1.8;-1.5;1.7;0.3;;;2.3;;-1.5;;
01.05.2001;28.5;;;;;;;-1.5;-1.9;-2.9;0.5;0.3;;;0.5;;-2.6;;
01.06.2001;27.8;;;;;;;-1.9;-2.3;-2.2;0.2;0.3;;;0.3;;-2;;
01.07.2001;24.6;0.2;;;;;;-1.2;-1.5;-1.1;1.7;0.5;;;1.2;;-0.9;0.023;
01.08.2001;25.7;0;;;;;;-0.9;-1.2;-1.2;1.1;0.5;;;-0.4;;-1.4;0.131;
01.09.2001;25.6;0.1;;;;;;-1.4;-0.8;-1.5;0.9;0.3;;;0.3;;-1.3;-0.046;
