;Name;Location;DEN;350 YLD;350 SUL;350 ASP;350 ARO;350 PAR;550 YLD;550 SUL;550 ASP;550 ARO;550 PAR
AGBAMI201203;AGBAMI 2012 03;Nigeria;0.79;17.06;0.15;1.19;23.28;40.49;2.01;0.39;8.91;35.59;20.54
ALGERIANCOND201011;ALGERIAN COND 2010 11;Algeria;0.70;0.35;0.03;0.00;26.11;42.52;0.00;0.09;0.61;34.37;35.28
ALVHEIMBLEND201309;ALVHEIM BLEND 2013 09;NWE;0.85;42.39;0.34;2.13;58.85;19.50;11.74;0.55;7.36;58.03;17.01
AASGARDBLEND201908;AASGARD BLEND 2019 08;NWE;0.79;18.25;0.71;2.36;26.66;24.80;4.54;1.15;8.77;33.54;15.91
AASTAHANSTEEN201904;AASTA HANSTEEN 2019 04;NWE;0.82;7.61;0.09;0.02;40.66;19.32;0.11;0.16;1.57;45.37;13.44
AZERIBTC201510;AZERI BTC 2015 10;Azerbaijan;0.84;38.77;0.28;2.78;26.04;37.47;9.61;0.49;10.56;44.00;31.55
AZERILIGHT201504;AZERI LIGHT 2015 04;Azerbaijan;0.85;41.90;0.26;3.08;31.02;34.00;11.56;0.43;10.58;49.43;19.38
BAKKEN201611;BAKKEN 2016 11;US;0.81;25.22;0.22;1.22;17.18;18.46;6.30;0.33;4.65;18.17;16.85
CLOV201609;CLOV 2016 09;Angola;0.86;45.27;0.43;2.85;26.16;45.67;14.80;0.62;8.29;22.83;75.26
DALIA201305;DALIA 2013 05;Angola;0.92;61.84;0.69;4.37;27.47;38.15;23.98;0.90;10.77;18.30;69.04
DRAUGEN200610;DRAUGEN 2006 10;NWE;0.82;30.30;0.36;1.66;27.48;10.38;6.35;0.64;7.43;38.78;4.84
EAGLEFORDCHEMGRADE201810;EAGLE FORD CHEM GRADE 2018 10;US;0.74;5.74;0.07;0.09;61.79;27.17;0.51;0.36;0.98;71.25;16.62
EAGLEFORDGENGRADE201709;EAGLE FORD GEN GRADE 2017 09;US;0.79;27.34;0.20;0.22;54.36;33.52;6.93;0.27;0.83;64.39;22.41
EKOFISK201506;EKOFISK 2015 06;NWE;0.83;37.31;0.44;2.95;30.90;31.71;12.20;0.65;8.56;37.34;19.42
FORTIESBL201111;FORTIES BL 2011 11;NWE;0.83;34.97;1.74;2.46;37.50;20.20;11.35;2.65;7.15;49.01;12.69
GINAKROG201902;GINA KROG 2019 02;NWE;0.83;30.84;0.62;2.20;34.07;28.34;8.03;1.00;7.90;41.05;19.35
GIRASSOL201502;GIRASSOL 2015 02;Angola;0.87;51.08;0.54;1.71;54.95;17.05;15.62;0.79;5.29;54.57;24.90
GOLIATBLEND201708;GOLIAT BLEND 2017 08;NWE;0.83;32.28;0.40;1.06;24.79;18.25;6.38;0.69;5.00;25.44;16.93
GRANEBLEND201903;GRANE BLEND 2019 03;NWE;0.88;48.37;1.00;3.35;39.46;20.90;16.80;1.47;9.12;44.14;14.97
GUDRUNBLEND201711;GUDRUN BLEND 2017 11;NWE;0.78;16.60;0.30;1.24;24.48;23.39;2.86;0.56;6.78;30.04;16.98
GULLFAKS201908;GULLFAKS 2019 08;NWE;0.83;32.71;0.48;2.15;30.92;21.23;9.01;0.74;7.36;35.98;15.01
HEBRON201807;HEBRON 2018 07;Canada;0.93;69.39;1.03;4.93;22.78;9.43;26.52;1.53;12.27;22.75;9.37
HEIDRUN201801;HEIDRUN 2018 01;NWE;0.91;51.93;0.87;2.32;37.14;13.95;15.79;1.30;7.35;39.88;10.99
HIBERNIABLEND201606;HIBERNIA BLEND 2016 06;Canada;0.85;44.92;1.03;3.48;60.87;10.50;15.20;1.56;9.85;73.39;2.66
HUNGOBLEND201601;HUNGO BLEND 2016 01;Angola;0.88;49.82;0.97;5.35;59.87;9.93;19.05;1.31;13.18;84.14;1.45
JOHANSVERDRUP201305;JOHAN SVERDRUP 2013 05;NWE;0.89;49.85;1.29;4.21;40.17;17.40;18.98;1.76;10.37;43.69;13.07
JOTUN201701;JOTUN 2017 01;NWE;0.82;31.24;0.42;1.94;75.85;14.13;7.24;0.67;7.82;77.42;21.76
KISSANJE201404;KISSANJE 2014 04;Angola;0.87;46.92;0.69;4.52;34.57;10.61;16.98;0.99;11.75;40.64;6.59
MARINERBLEND201609;MARINER BLEND 2016 09;NWE;0.96;72.72;1.32;3.12;43.92;35.99;27.88;1.68;7.90;43.25;49.90
MARS201709;MARS 2017 09;US;0.88;48.78;3.06;7.72;42.36;21.18;22.54;4.13;15.84;47.41;15.32
