Date;Dated Brent;Propane;Gasoline;Jet;Gasoil;FO 1%;ULSD;Naphtha;Butane;FO 3.5%;VGO 0.5%;FO 0.5%;VGO 2%;
01.01.2000;25.5;-2.364706902;;7.879456755;;-2.954984109;;1.362571376;-3.227965283;-6.178657794;1.22702529;;0.276572792;
01.02.2000;27.9;-2.073890443;;5.679154785;;-3.244093596;;1.475277292;-2.30881605;-7.477669824;1.997708996;;1.195334242;
01.03.2000;27.3;-3.622160124;;7.508726471;;-2.401897386;;3.263846061;-3.867299888;-4.225990433;1.956401441;;1.038289482;
01.04.2000;22.6;-3.358499413;;10.71828751;;-1.482555156;;1.700582592;-4.766095341;-4.424218578;3.103969121;;-0.616742479;
01.05.2000;27.6;-7.719306289;;4.605475414;;-4.384147969;;0.155785897;-9.297393517;-9.550713669;0.358729673;;-1.653570512;
01.06.2000;29.8;-7.654020253;;4.848575247;;-2.622201451;;0.100064971;-9.234428882;-8.911991616;0.836808781;;-0.497769282;
01.07.2000;28.5;-5.769139911;;8.424447522;;-2.938696783;;0.900779967;-7.046314838;-8.308510714;0.724416643;;-1.903102401;
01.08.2000;30.1;-6.55459586;;9.491508472;;-6.665747306;;-0.745613242;-7.618570529;-11.16503657;-0.101456842;;-2.714302864;
01.09.2000;32.7;-5.510007272;;12.05805149;;-4.966374724;;-0.057378834;-5.681540254;-10.18021964;0.006116437;;-2.035978966;
01.10.2000;30.9;-2.83252634;;13.75808371;;-0.936185391;;1.781698605;-3.661884922;-5.998849604;1.100727181;;-0.207553778;
01.11.2000;32.6;-4.942957571;;11.52964659;;-4.547917056;;-0.250184548;-5.571205596;-10.0608589;-3.644127199;;-5.077319405;
01.12.2000;25.1;1.984359921;;12.3944062;;0.074101504;;1.691586419;0.518871611;-5.938667057;0.267804179;;-1.116550546;
01.01.2001;25.7;1.342757652;;7.645004422;;-2.913106292;;2.747823427;-3.585573014;-9.994168921;-0.208851165;;-1.542000038;
01.02.2001;27.4;-4.939711433;;6.603265416;;-5.699539538;;1.771857063;-6.721230619;-9.470290676;-0.909147093;;-1.805878363;
01.03.2001;24.4;-3.80554371;;8.050647142;;-2.819814063;;1.981028668;-5.34857781;-6.770733151;0.293945815;;-1.875565322;
